병원/약국명,병원/약국구분,소재지주소,경도,위도
건강샘온누리약국,약국,서울특별시 강서구  까치산로 73 1층 (화곡동),126.8469485,37.54523895
건강약국,약국,서울특별시 관악구 남부순환로 1539 (신림동),126.9216047,37.48341131
건강약국,약국,서울특별시 성북구 동소문로 71 (동소문동6가),127.013184,37.59208558
건강약국,약국,서울특별시 동대문구 왕산로 176 2층 (전농동),127.043031,37.57930773
건강약국,약국,서울특별시 중구 퇴계로 213 301-1호 (충무로4가),126.9954927,37.56190183
건강약국,약국,서울특별시 서대문구 가재울로6길 53-61 (남가좌동),126.9230512,37.57670019
건강약국,약국,서울특별시 송파구 백제고분로 162 대양빌딩 1층 103호 (잠실동),127.0847145,37.50499637
건강약국,약국,서울특별시 영등포구 당산로 166 (당산동4가),126.8984666,37.52910702
건강약국,약국,서울특별시 중랑구 신내로 135 신내9단지아파트 제상가1동 1층 117호 (신내동),127.0958491,37.61138443
건강약국,약국,서울특별시 노원구 화랑로 463 (공릉동),127.0786506,37.61900597
건강약국,약국,서울특별시 양천구 곰달래로5길 30 (신월동),126.8334642,37.53243445
건강약국,약국,서울특별시 동작구 만양로 5 (상도동),126.9465265,37.5053875
건강약국,약국,서울특별시 도봉구 도당로 109 방학동상가주택1층 102호 (방학동),127.0386001,37.66683209
건강약국,약국,서울특별시 마포구 방울내로 70 1층 (망원동),126.9033359,37.56010544
건강약국,약국,서울특별시 종로구 혜화로 2 1층 (혜화동),127.0008893,37.58608644
건강온누리약국,약국,서울특별시 강서구 곰달래로 271 (화곡동),126.863159,37.53251377
건강온누리약국,약국,"서울특별시 관악구 남부순환로 1715 101호 (봉천동, 신우빌딩)",126.9408882,37.48303769
건강온누리약국,약국,서울특별시 양천구 오목로 350 (목동),126.8762665,37.52414819
건강온누리약국,약국,서울특별시 영등포구  신풍로 113 (신길동),126.9188666,37.50013713
건강온누리약국,약국,서울특별시 동작구 상도로 202 (상도동),126.9410593,37.50495723
건강온누리약국,약국,"서울특별시 강남구 삼성로 212 B동 1층 195호 (대치동, 은마아파트)",127.066997,37.49879449
건강온누리약국,약국,서울특별시 구로구 고척로21나길 18 (개봉동),126.8446654,37.50287089
건강을준비하는약국,약국,서울특별시 강동구 구천면로 189 지층 (천호동),127.1255279,37.54157814
건강제일녹십자약국,약국,서울특별시 도봉구 해등로 190 (쌍문동),127.0357596,37.65821663
건강제일온누리약국,약국,서울특별시 중랑구 동일로 786 1층 (중화동),127.0799851,37.6007157
건강플러스약국,약국,"서울특별시 강동구 아리수로93길 27 108호 (강일동, 강일타워)",127.1738149,37.56562189
건강플러스약국,약국,서울특별시 노원구 상계로1길 38 (상계동),127.0616932,37.65771078
건강플러스약국,약국,"서울특별시 금천구 시흥대로 391 3층 (독산동, 홈플러스금천점)",126.8968854,37.46866427
건강한세상대한약국,약국,"서울특별시 영등포구 국제금융로 108 (여의도동,은하빌딩 1층)",126.9335486,37.51874262
건강한세상약국,약국,서울특별시 종로구 새문안로 21 (평동),126.9679488,37.56746841
건강한세상약국,약국,서울특별시 은평구 증산로15길 7 (증산동),126.9120871,37.58878158
건강한세상행복한약국,약국,"서울특별시 강남구 강남대로 488 1층 (논현동, 대남빌딩)",127.0242637,37.50589958
건강한약국,약국,서울특별시 노원구 석계로9길 25 1층 오른쪽점포호 (월계동),127.0629297,37.61694555
건강한약국,약국,서울특별시 강동구 구천면로 231 (천호동),127.1300489,37.54140536
건강한약국,약국,서울특별시 광진구 천호대로 655 (중곡동),127.0897263,37.55259991
건강한약국,약국,서울특별시 동대문구 왕산로32길 7 4층 6호 (용두동),127.0417965,37.57873059
건강한약국,약국,서울특별시 성북구 동소문로42길 14 1층 (하월곡동),127.0277795,37.6057202
건강한약국,약국,"서울특별시 은평구 진관2로 57 B105호 (진관동, 은평뉴타운우물골)",127.03416,37.5623004
건강한약국,약국,서울특별시 성동구 왕십리로 320-1 1층 (도선동),127.0341862,37.56232331
건강한약국,약국,서울특별시 용산구 효창원로93길 2 (청파동2가),126.9633074,37.54854056
건강한약국,약국,서울특별시 금천구 남부순환로 1384 (독산동),126.9044863,37.47969722
건강한온누리약국,약국,서울특별시 강서구 가로공원로82길 41-8 1층 (화곡동),126.8408369,37.53562153
건강한온누리약국,약국,서울특별시 강남구 압구정로34길 11 압구정스퀘어 (신사동),127.0309737,37.52737536
건강한우리약국,약국,서울특별시 양천구 지양로 22 (신월동),126.8374593,37.51863135
건국약국,약국,서울특별시 성동구 아차산로 92 광명타워 1층 (성수동2가),127.0542424,37.54475228
건대가온약국,약국,"서울특별시 광진구 광나루로 410 105호 (화양동, KCC파크타운)",127.0750478,37.54656193
건대역약국,약국,서울특별시 광진구 아차산로 218 (자양동),127.0673939,37.54077782
건대온누리약국,약국,"서울특별시 광진구 능동로 110 스타시티영존 지하2층 B203-1,204호 (화양동)",127.0714116,37.54065844
