No,주소,경도,위도
200,서울특별시 서대문구 통일로 451,126.9438496,37.58866962
201,서울특별시 서대문구 연세로 50,126.9393616,37.56626802
202,서울특별시 서대문구 연희로 144,126.933891,37.57019089
203,서울특별시 서대문구 충정로 53,126.9646321,37.56375114
204,서울특별시 서대문구 연세로 4 4105,126.937032,37.5558544
205,서울특별시 서대문구 이화여대길 34,126.9459452,37.55845397
206,"""서울특별시 서대문구 연세로 50,""",126.9393616,37.56626802
207,서울특별시 서대문구 이화여대길 52,126.9467463,37.565059
208,서울특별시 서대문구 연세로 35,126.9367149,37.55873144
209,서울특별시 서대문구 신촌로 129,126.9403287,37.55656511
210,서울특별시 서대문구 충정로 23,126.962991,37.5612536
211,서울특별시 서대문구 성산로 565,126.9463413,37.56641814
212,"""서울특별시 서대문구 명물길 24,""",126.9381315,37.55779295
213,"""서울특별시 서대문구 서소문로 21,""",126.9640865,37.55989541
214,서울특별시 서초구 방배로 52,126.999435,37.47934444
215,서울특별시 서초구 강남대로 465,127.0241097,37.50375607
216,서울특별시 서초구 방배로 114,126.9960904,37.48433836
217,서울특별시 서초구 신반포로 176,127.0031918,37.50446765
218,서울특별시 서초구 반포대로21길 3,127.0090318,37.48830025
219,서울특별시 서초구 남부순환로 2557,127.0300701,37.48443892
220,서울특별시 서초구 강남대로 343,127.0292412,37.49352025
221,서울특별시 서초구 서초대로 43894,126.987057,37.4861789
222,서울특별시 서초구 강남대로 595,127.019537,37.51485238
223,서울특별시 서초구 신반포로 194,127.0068347,37.50643652
224,서울특별시 서초구 강남대로85길 5,127.0225954,37.50736657
225,서울특별시 서초구 방배로 211,126.990584,37.4919727
226,서울특별시 서초구 방배중앙로 162,126.9865679,37.49352953
227,서울특별시 서초구 서초대로 274,127.0119038,37.49281894
228,서울특별시 서초구 청계산로 203,127.0562965,37.44732532
229,서울특별시 서초구 방배천로 5-4,126.982163,37.4772943
230,서울특별시 서초구 사평대로 205,127.0078453,37.50449272
231,서울특별시 서초구 서초중앙로 138,127.0139641,37.49423915
232,서울특별시 서초구 강남대로 202,127.0368606,37.48232392
233,서울특별시 서초구 강남대로 557,127.0206396,37.51153878
234,서울특별시 서초구 동작대로 112,126.9827114,37.48651366
235,서울특별시 서초구 방배로 184,126.9924755,37.49001948
236,서울특별시 서초구 서초대로74길 29,127.0274265,37.49494274
237,서울특별시 서초구 남부순환로 2395,127.0123688,37.48067395
238,서울특별시 서초구 서초중앙로 225,127.011538,37.5016405
239,서울특별시 서초구 신반포로 176,127.0031918,37.50446765
240,서울특별시 서초구 서초대로78길 24,127.0277536,37.49554688
241,서울특별시 서초구 방배로 84,126.9976451,37.48199351
242,서울특별시 서초구 신반포로 257,127.0119367,37.50862097
243,"""서울특별시 서초구 서초중앙로 26,""",127.0169916,37.48468705
244,서울특별시 서초구 잠원로 69,127.0069708,37.51026001
245,"""서울특별시 서초구 서초대로77길 27,""",127.025501,37.50012235
246,서울특별시 서초구 서초중앙로 118,127.0142299,37.49239137
247,"""서울특별시 서초구 매헌로 16,""",127.0369592,37.46348131
248,서울특별시 서초구 강남대로 483,127.0236493,37.50532592
249,"""서울특별시 서초구 논현로 139,""",127.0425944,37.48199247
250,서울특별시 서초구 효령로 274,127.0142145,37.48439516
251,서울특별시 서초구 서래로 48,126.9985582,37.49926743
252,서울특별시 서초구 강남대로 399,127.0268441,37.49826985
253,서울특별시 서초구 반포대로 118,127.008614,37.490668
254,"""서울특별시 서초구 남부순환로323길 1,""",127.0135011,37.48113381
255,서울특별시 서초구 서초중앙로 164,127.0133804,37.49636846
256,"""서울특별시 서초구 서초대로 411,""",127.0259224,37.49810842
257,"""서울특별시 서초구 남부순환로339길 64,""",127.0215816,37.48592257
258,"""서울특별시 서초구 서초중앙로 64,""",127.0151697,37.48743883
259,"""서울특별시 서초구 서초대로77길 62,""",127.0239026,37.50272986
260,서울특별시 성북구 정릉로 376,127.0253197,37.60201933
261,서울 성북구 도봉로 17,127.0293661,37.61091042
262,서울특별시 성북구 종암로 17,127.0360861,37.59190066
263,서울특별시 성북구 동소문로 314,127.0293154,37.60761915
264,서울특별시 성북구 보문로34길 62,127.0188557,37.59083569
265,서울특별시 성북구 종암로 122,127.0339559,37.60120315
266,서울특별시 성북구 동소문로 10,127.0073329,37.58873084
267,"""서울특별시 성북구 화랑로 76,""",127.040464,37.60182806
268,서울특별시 성북구 고려대로 24길,127.0218824,37.58603931
269,"""서울특별시 성북구 동소문로 315,""",127.0287439,37.60839996
270,서울특별시 성북구 동소문로24길 12,127.0184195,37.59316055
271,서울특별시 성북구 고려대로 102-2,127.0307654,37.58610768
272,서울특별시 성북구 성북로 11,127.0049288,37.5890532
273,서울특별시 송파구 오금로 142,127.1102691,37.51082962
274,서울특별시 송파구 송파대로 345,127.1077046,37.49925109
275,서울특별시 송파구 올림픽로 289,127.1025223,37.51461439
276,서울특별시 송파구 송파대로 201,127.1206327,37.48782906
277,서울특별시 송파구 오금로 420,127.1362739,37.49698436
278,서울특별시 송파구 송파대로 111,127.1244338,37.48053682
279,서울특별시 송파구 송파대로 167,127.1209336,37.48466065
280,서울특별시 송파구 올림픽로35길 141,127.099089,37.5157732
281,서울특별시 송파구 위례광장로 230,127.1437577,37.47861592
282,서울특별시 송파구 오금로 241,127.1204843,37.50653527
