정류장명,위도,경도
해운센터.롯데영프라자,126.9815478,37.56289078
롯데영프라자,126.982008,37.562885
신세계앞,126.9815256,37.56084925
남대문시장.회현역,126.9777651,37.55826752
남대문시장.회현역,126.9784645,37.55849203
남산3호터널,126.9826695,37.55845577
남산3호터널.서울애니메이션센터,126.9826359,37.55952609
명동입구,126.9852408,37.56065389
퇴계로2가.명동역,126.9844914,37.56089348
퇴계로3가.한옥마을.한국의집,126.9917289,37.5612168
퇴계로3가.한옥마을.한국의집,126.992484,37.56087174
충무로역2번출구.대한극장앞,126.9949176,37.56122329
충무로역8번출구.대한극장앞,126.9965577,37.56191809
초동,126.993112,37.56334618
을지로입구.로얄호텔,126.9853903,37.56587574
을지로입구.시청입구,126.9811712,37.56613826
을지로2가.기업은행본점.서울노동청,126.9865234,37.56624623
을지로2가.파인에비뉴,126.9888282,37.56600948
을지로3가,126.9903756,37.56635564
을지로3가,126.9913276,37.56612052
을지로4가,126.9962179,37.56664702
을지로4가.베스트웨스턴국도,126.9968473,37.56640104
중구청앞.덕수중학교,126.9981401,37.5647746
을지로5가,126.9992585,37.56681829
을지로5가.중부시장,127.001115,37.56662004
방산시장.훈련원종합체육관,127.0024045,37.56796085
을지로5가.훈련원종합체육관,127.0025946,37.56582435
을지로6가.국립중앙의료원,127.0063778,37.56607471
광희동,127.0072097,37.56505283
광희동,127.0079579,37.56499511
을지로6가.국립중앙의료원,127.0058435,37.56646311
동대문역사문화공원,127.0083555,37.56735414
동대문역사문화공원,127.0090235,37.5676037
충무아트센터.스포츠센터.중부소방서,127.0140459,37.56519278
충무아트센터.스포츠센터.중부소방서,127.0147409,37.56501789
성동공업고등학교(무궁화회관),127.0157558,37.56834819
성동공업고등학교앞,127.0161295,37.56869506
신당역.중앙시장앞,127.0187427,37.56572828
신당역.중앙시장앞,127.0194795,37.56549207
성동고등학교,127.0220571,37.56556371
성동고등학교,127.0225483,37.56518065
신당동떡볶이타운.중구여성플라자,127.0150959,37.56276601
신당동떡볶이타운.중구여성플라자,127.0151909,37.56231004
신당동.청구역,127.0132161,37.5589483
신당동.청구역,127.0130317,37.5592574
약수역2번출구.가온도서관,127.0111466,37.55598121
약수역3번출구.약수하이츠,127.0113797,37.55574961
약수역4번출구.금호터널입구,127.012012,37.553399
약수역5번출구.금호터널입구,127.0118693,37.55292373
약수역8번출구.신당사회복지관,127.0099567,37.55386465
약수역7번출구.약수동주민센터,127.0092978,37.55285097
송도병원앞,127.0077187,37.55026765
송도병원앞,127.0073984,37.55022712
약수역1번출구,127.0096865,37.55640846
장충체육관앞,127.0077841,37.55848112
장충체육관앞,127.0078282,37.55800173
